Dato;Beskrivelse;Rentedato;Inn;Ut;Til konto;Fra konto;
"29.01.2025";"SAS EUROBONUS";"";"";"-2490,00";"55667788990";"12345678901";""
"28.01.2025";"FINN.NO FAKTURA";"";"";"-149,00";"87654321987";"12345678901";""
"27.01.2025";"REMA 1000 TORSHOV";"";"";"-737,47";"33445566778";"12345678901";""
"25.01.2025";"NETFLIX";"";"";"-179,00";"22334455667";"12345678901";""
"23.01.2025";"Overforing til Sparekonto";"";"";"-6500,00";"11112222333";"12345678901";""
"18.01.2025";"MENY BOGSTADVEIEN";"";"";"-559,35";"23451298765";"12345678901";""
"16.01.2025";"Kafe Oslo";"";"";"-96,00";"44556677889";"12345678901";""
"14.01.2025";"Lonn KOMPLETT AS";"";"43875,00";"";"12345678901";"56712345678";""
"12.01.2025";"SPOTIFY";"";"";"-129,00";"11223344556";"12345678901";""
"10.01.2025";"COOP EXTRA GRONLAND";"";"";"-892,70";"78901234567";"12345678901";""
"09.01.2025";"VINMONOPOLET OSLO S";"";"";"-689,00";"89123456789";"12345678901";""
"08.01.2025";"SKATTEETATEN";"";"3150,00";"";"12345678901";"99988877766";""
"07.01.2025";"RUTER MANEDSKORT";"";"";"-897,00";"34567891234";"12345678901";""
"05.01.2025";"KIWI MAJORSTUEN";"";"";"-629,40";"98765432109";"12345678901";""
"03.01.2025";"GET/TELIA";"";"";"-749,00";"34512389012";"12345678901";""
"01.01.2025";"HUSLEIE JANUARY";"";"";"-17800,00";"65432198765";"12345678901";""
