Dato;Beskrivelse;Rentedato;Inn;Ut;Til konto;Fra konto;
"15.04.2025";"JUST EAT";;;"-267,00";"45609876543";"12345678901";
"14.04.2025";"STATOIL SINSEN";;;"-756,00";"23489156123";"12345678901";
"12.04.2025";"JACK & JONES OSLO CITY";;;"-1199,00";"56709876543";"12345678901";
"10.04.2025";"VINMONOPOLET GRÜNERLØKKA";;;"-567,00";"89123456789";"12345678901";
"08.04.2025";"G-SPORT STORO";;;"-1899,00";"67809876543";"12345678901";
"07.04.2025";"SKATTEETATEN";;"3456,00";;"12345678901";"99988877766";
"05.04.2025";"GET/TELIA";;;"-629,00";"34512389012";"12345678901";
"03.04.2025";"COOP PRIX SAGENE";;;"-534,20";"78901234567";"12345678901";
"01.04.2025";"LINDEX OSLO CITY";;;"-699,00";"78909876543";"12345678901";
"31.03.2025";"HUSLEIE APRIL";;;"-11300,00";"65432198765";"12345678901";
"30.03.2025";"Kiwi Torshov";;;"-298,00";"12345678904";"12345678901";
"28.03.2025";"SPOTIFY";;;"-129,00";"11223344556";"12345678901";
"27.03.2025";"kiwi grünerløkka";;;"-189,50";"12345678905";"12345678901";
"26.03.2025";"INTERSPORT CC VEST";;;"-1599,00";"78901098765";"12345678901";
"25.03.2025";"Lønn KOMPLETT AS";;"28750,34";;"12345678901";"56712345678";
"24.03.2025";"NILLE STORO";;;"-149,00";"89012098765";"12345678901";
"22.03.2025";"REMA 1000 GRÜNERLØKKA";;;"-534,20";"33445566778";"12345678901";
"21.03.2025";"NORMAL MAJORSTUEN";;;"-199,00";"90123098765";"12345678901";
"20.03.2025";"MENY TORSHOV";;;"-467,90";"23451298765";"12345678901";
"18.03.2025";"FLYING TIGER OSLO";;;"-89,00";"12340987654";"12345678901";
"17.03.2025";"Netflix Oslo";;;"-179,00";"23450987654";"12345678901";
"15.03.2025";"VITA KARL JOHAN";;;"-345,00";"34560987654";"12345678901";
"14.03.2025";"netflix.com";;;"-179,00";"45670987654";"12345678901";
"12.03.2025";"XXL SPORT CC VEST";;;"-899,00";"34567812390";"12345678901";
"10.03.2025";"KICKS OSLO CITY";;;"-567,00";"56780987654";"12345678901";
"08.03.2025";"ESSO HOVINBYEN";;;"-678,00";"67890987654";"12345678901";
"07.03.2025";"Overføring fra Jonas";;"1500,00";;"12345678901";"78901234567";
"05.03.2025";"CIRCLE K HELSFYR";;;"-589,00";"78900987654";"12345678901";
"03.03.2025";"COOP MEGA TORSHOV";;;"-756,40";"78901234567";"12345678901";
"01.03.2025";"BUNNPRIS TORSHOV";;;"-423,00";"89010987654";"12345678901";
"28.02.2025";"HUSLEIE MARS";;;"-11300,00";"65432198765";"12345678901";
"27.02.2025";"KIWI MINIPRIS GRÜNERLØKKA";;;"-267,45";"12345678903";"12345678901";
"26.02.2025";"Overføring til Sparekonto";;;"-5000,00";"11112222333";"12345678901";
"25.02.2025";"RUTER MÅNEDSKORT";;;"-814,00";"34567891234";"12345678901";
"25.02.2025";"Lønn KOMPLETT AS";;"28750,34";;"12345678901";"56712345678";
"24.02.2025";"REMA TORSHOV";;;"-312,00";"56789012345";"12345678901";
"22.02.2025";"POWER STORO";;;"-3799,00";"56712389012";"12345678901";
"21.02.2025";"JULA OSLO";;;"-456,00";"67890123456";"12345678901";
"20.02.2025";"COOP OBS BYGG ALNA";;;"-1234,00";"78901234501";"12345678901";
"18.02.2025";"FINN.NO FAKTURA";;;"-89,00";"87654321987";"12345678901";
"17.02.2025";"BILTEMA ALF";;;"-567,00";"89012345678";"12345678901";
"15.02.2025";"SPOTIFY FAMILY";;;"-169,00";"90123456789";"12345678901";
